"Fisktegund";"Löndunarhöfn";"2019 Alls";"2018 Alls";"2017 Alls"
"Þorskur";"Hofsós";111980;98814;222892
"Þorskur";"Hvammstangi";100373;100550;171866
"Þorskur";"Sauðárkrókur";19398931;16395606;14388622
"Þorskur";"Skagaströnd";3147811;6846093;5410963
"Ýsa";"Hofsós";96429;24107;373604
"Ýsa";"Hvammstangi";56182;37439;135936
"Ýsa";"Sauðárkrókur";3329829;2133713;1594958
"Ýsa";"Skagaströnd";1163991;1768541;1734159
"Ufsi";"Hofsós";9488;3027;8154
"Ufsi";"Hvammstangi";..;10;30
"Ufsi";"Sauðárkrókur";4744521;1558950;839487
"Ufsi";"Skagaströnd";143063;1155715;1187539
"Karfi";"Hofsós";156;217;514
"Karfi";"Hvammstangi";..;..;..
"Karfi";"Sauðárkrókur";3623238;511306;493644
"Karfi";"Skagaströnd";25743;1529419;1623584
"Úthafskarfi";"Hofsós";..;..;..
"Úthafskarfi";"Hvammstangi";..;..;..
"Úthafskarfi";"Sauðárkrókur";..;..;..
"Úthafskarfi";"Skagaströnd";..;219470;272293
"Steinbítur";"Hofsós";2172;1236;5208
"Steinbítur";"Hvammstangi";565;524;258
"Steinbítur";"Sauðárkrókur";101654;78878;89648
"Steinbítur";"Skagaströnd";145022;92317;89683
"Hlýri";"Hofsós";61;12;342
"Hlýri";"Hvammstangi";..;..;13
"Hlýri";"Sauðárkrókur";98748;101896;127382
"Hlýri";"Skagaströnd";17292;56298;45458
"Langa";"Hofsós";..;3;9
"Langa";"Hvammstangi";..;5;8
"Langa";"Sauðárkrókur";48601;20846;23233
"Langa";"Skagaströnd";2931;14612;23524
"Blálanga";"Hofsós";..;..;..
"Blálanga";"Hvammstangi";..;..;..
"Blálanga";"Sauðárkrókur";4788;5274;3129
"Blálanga";"Skagaströnd";..;482;7754
"Keila";"Hofsós";82;23;20
"Keila";"Hvammstangi";..;..;..
"Keila";"Sauðárkrókur";36452;72192;79854
"Keila";"Skagaströnd";10554;12429;31537
"Langhali";"Hofsós";..;..;..
"Langhali";"Hvammstangi";..;..;..
"Langhali";"Sauðárkrókur";..;..;..
"Langhali";"Skagaströnd";4;..;..
"Tindaskata";"Hofsós";..;15;377
"Tindaskata";"Hvammstangi";..;..;1755
"Tindaskata";"Sauðárkrókur";106222;131199;124052
"Tindaskata";"Skagaströnd";801;4723;23945
"Skötuselur";"Hofsós";..;..;..
"Skötuselur";"Hvammstangi";..;..;..
"Skötuselur";"Sauðárkrókur";4;..;..
"Skötuselur";"Skagaströnd";..;..;50
"Skata";"Hofsós";..;..;..
"Skata";"Hvammstangi";..;..;0
"Skata";"Sauðárkrókur";70;140;781
"Skata";"Skagaströnd";483;3124;940
"Lýsa";"Hofsós";3;5;161
"Lýsa";"Hvammstangi";..;..;457
"Lýsa";"Sauðárkrókur";7042;318;287
"Lýsa";"Skagaströnd";4542;4772;6197
"Gulllax";"Hofsós";..;..;..
"Gulllax";"Hvammstangi";..;..;..
"Gulllax";"Sauðárkrókur";27691;294;9
"Gulllax";"Skagaströnd";..;85762;113435
"Háfur";"Hofsós";..;..;..
"Háfur";"Hvammstangi";..;..;..
"Háfur";"Sauðárkrókur";..;7;..
"Háfur";"Skagaströnd";0;2;6
"Hákarl";"Hofsós";..;..;..
"Hákarl";"Hvammstangi";..;..;..
"Hákarl";"Sauðárkrókur";1015;819;1074
"Hákarl";"Skagaströnd";560;235;..
"Annar botnfiskur";"Hofsós";61013;71485;73686
"Annar botnfiskur";"Hvammstangi";10215;5865;..
"Annar botnfiskur";"Sauðárkrókur";195654;219099;143374
"Annar botnfiskur";"Skagaströnd";210616;175372;106767
"Lúða";"Hofsós";13;..;76
"Lúða";"Hvammstangi";..;..;..
"Lúða";"Sauðárkrókur";4151;3155;1161
"Lúða";"Skagaströnd";78;3032;3340
"Grálúða";"Hofsós";..;0;..
"Grálúða";"Hvammstangi";..;..;..
"Grálúða";"Sauðárkrókur";63695;97337;67049
"Grálúða";"Skagaströnd";1627;14160;43758
"Skarkoli";"Hofsós";25200;1056;5386
"Skarkoli";"Hvammstangi";33834;14200;22544
"Skarkoli";"Sauðárkrókur";125094;108429;55843
"Skarkoli";"Skagaströnd";160051;58128;44319
"Þykkvalúra";"Hofsós";12;22;16
"Þykkvalúra";"Hvammstangi";..;18;..
"Þykkvalúra";"Sauðárkrókur";9414;8627;11266
"Þykkvalúra";"Skagaströnd";204;1809;932
"Langlúra";"Hofsós";..;68;41
"Langlúra";"Hvammstangi";..;..;..
"Langlúra";"Sauðárkrókur";1277;1714;79
"Langlúra";"Skagaströnd";143;596;221
"Stórkjafta";"Hofsós";..;..;..
"Stórkjafta";"Hvammstangi";..;..;..
"Stórkjafta";"Sauðárkrókur";270;..;..
"Stórkjafta";"Skagaströnd";8;147;29
"Sandkoli";"Hofsós";343;..;..
"Sandkoli";"Hvammstangi";41478;7599;3442
"Sandkoli";"Sauðárkrókur";3883;1255;..
"Sandkoli";"Skagaströnd";193;119;61
"Skrápflúra";"Hofsós";..;..;14
"Skrápflúra";"Hvammstangi";..;..;..
"Skrápflúra";"Sauðárkrókur";5387;1233;860
"Skrápflúra";"Skagaströnd";0;5763;5801
"Annar flatfiskur";"Hofsós";..;..;..
"Annar flatfiskur";"Hvammstangi";..;..;..
"Annar flatfiskur";"Sauðárkrókur";1;..;..
"Annar flatfiskur";"Skagaströnd";3;..;..
"Síld";"Hofsós";..;..;..
"Síld";"Hvammstangi";..;..;..
"Síld";"Sauðárkrókur";..;..;..
"Síld";"Skagaströnd";..;..;..
"Loðna";"Hofsós";..;..;..
"Loðna";"Hvammstangi";..;..;..
"Loðna";"Sauðárkrókur";..;..;..
"Loðna";"Skagaströnd";..;..;..
"Kolmunni";"Hofsós";..;..;..
"Kolmunni";"Hvammstangi";..;..;..
"Kolmunni";"Sauðárkrókur";..;..;..
"Kolmunni";"Skagaströnd";..;..;0
"Makríll";"Hofsós";..;..;..
"Makríll";"Hvammstangi";..;..;..
"Makríll";"Sauðárkrókur";..;..;..
"Makríll";"Skagaströnd";..;..;..
"Annar uppsjávarfiskur";"Hofsós";..;..;..
"Annar uppsjávarfiskur";"Hvammstangi";..;..;..
"Annar uppsjávarfiskur";"Sauðárkrókur";..;..;..
"Annar uppsjávarfiskur";"Skagaströnd";..;..;..
"Humar";"Hofsós";..;..;..
"Humar";"Hvammstangi";..;..;..
"Humar";"Sauðárkrókur";..;..;..
"Humar";"Skagaströnd";..;..;..
"Rækja";"Hofsós";..;..;..
"Rækja";"Hvammstangi";..;..;..
"Rækja";"Sauðárkrókur";178950;918840;526488
"Rækja";"Skagaströnd";..;22069;19149
"Hörpudiskur";"Hofsós";..;..;..
"Hörpudiskur";"Hvammstangi";..;..;..
"Hörpudiskur";"Sauðárkrókur";..;..;..
"Hörpudiskur";"Skagaströnd";..;..;..
"Kúfiskur";"Hofsós";..;..;..
"Kúfiskur";"Hvammstangi";..;..;..
"Kúfiskur";"Sauðárkrókur";..;..;..
"Kúfiskur";"Skagaströnd";..;..;..
"Önnur skel- og krabbadýr";"Hofsós";..;..;..
"Önnur skel- og krabbadýr";"Hvammstangi";50346;..;..
"Önnur skel- og krabbadýr";"Sauðárkrókur";..;..;..
"Önnur skel- og krabbadýr";"Skagaströnd";..;2;5
"Annar afli";"Hofsós";..;..;..
"Annar afli";"Hvammstangi";..;..;..
"Annar afli";"Sauðárkrókur";..;..;..
"Annar afli";"Skagaströnd";..;..;..
